Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,,60000000
Hernán Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Serie A,2000-2001,,56810000
Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,40000000
Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Serie A,2000-2001,,36150000
Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,,34500000
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,,26000000
Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,,25000000
Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,,25000000
David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Serie A,2000-2001,,23240000
Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,,23000000
Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,,21600000
Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,,20000000
Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Serie A,2000-2001,,19500000
Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,,18000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Serie A,2000-2001,,17900000
Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,17750000
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,,17500000
Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Serie A,2000-2001,,17500000
Sérgio Conceição,Right Winger,25,Lazio,Serie A,Parma,Serie A,2000-2001,,17000000
Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Inter,Serie A,2000-2001,,16250000
Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,,15300000
Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,15000000
Catanha,Centre-Forward,28,Málaga CF,LaLiga,Celta de Vigo,LaLiga,2000-2001,,14420000
Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,2000-2001,,14000000
Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,Premier League,2000-2001,,12200000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,Premier League,2000-2001,,11700000
Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,Paris SG,Ligue 1,2000-2001,,10750000
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,2000-2001,,10700000
Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,LaLiga,2000-2001,,10500000
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,Premier League,2000-2001,,10500000
Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,Monaco,Ligue 1,2000-2001,,10500000
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,Premier League,2000-2001,,9800000
Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,Ligue 1,2000-2001,,9100000
Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,,9000000
Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,2000-2001,,9000000
Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,Ligue 1,2000-2001,,9000000
Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,2000-2001,,8750000
Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,Premier League,2000-2001,,8400000
Sabri Lamouchi,Central Midfield,28,Monaco,Ligue 1,Parma,Serie A,2000-2001,,7850000
Willy Sagnol,Right-Back,23,Monaco,Ligue 1,Bayern Munich ,1.Bundesliga,2000-2001,,7700000
Johan Micoud,Attacking Midfield,26,G. Bordeaux,Ligue 1,Parma,Serie A,2000-2001,,7600000
Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Inter,Serie A,2000-2001,,7500000
Sunday Oliseh,Defensive Midfield,25,Juventus,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,7500000
Dino Baggio,Defensive Midfield,29,Parma,Serie A,Lazio,Serie A,2000-2001,,7500000
David Sesa,Second Striker,26,Lecce,Serie A,SSC Napoli,Serie A,2000-2001,,7250000
Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,2000-2001,,7130000
Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,2000-2001,,6700000
Alex Nyarko,Centre-Back,26,Lens,Ligue 1,Everton,Premier League,2000-2001,,6300000
César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,2000-2001,,6250000
Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,Ligue 1,2000-2001,,6000000
Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,Ligue 1,2000-2001,,6000000
Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,2000-2001,,5400000
Roberto Ayala,Centre-Back,27,AC Milan,Serie A,Valencia CF,LaLiga,2000-2001,,5000000
Vratislav Gresko,Left-Back,23,Bay. Leverkusen,1.Bundesliga,Inter,Serie A,2000-2001,,5000000
Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,Premier League,2000-2001,,4500000
David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,2000-2001,,4500000
Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,2000-2001,,4500000
Joseph-Désiré Job,Centre-Forward,22,Lens,Ligue 1,Middlesbrough,Premier League,2000-2001,,4500000
Bernard Diomède,Left Winger,26,AJ Auxerre,Ligue 1,Liverpool,Premier League,2000-2001,,4500000
Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,Premier League,2000-2001,,4100000
Jörg Heinrich,Left Midfield,30,Fiorentina,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,4100000
Adrian Mutu,Centre-Forward,21,Inter,Serie A,Hellas Verona,Serie A,2000-2001,,4000000
Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,2000-2001,,4000000
Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,2000-2001,,3800000
David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,2000-2001,,3750000
Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,2000-2001,,3750000
Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,Premier League,2000-2001,,3750000
Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,2000-2001,,3750000
Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,LaLiga,2000-2001,,3500000
Thomas Gravesen,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Everton,Premier League,2000-2001,,3500000
Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,Premier League,2000-2001,,3500000
Marc Wilmots,Attacking Midfield,31,FC Schalke 04,1.Bundesliga,G. Bordeaux,Ligue 1,2000-2001,,3500000
Alen Boksic,Centre-Forward,30,Lazio,Serie A,Middlesbrough,Premier League,2000-2001,,3450000
Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,2000-2001,,3000000
Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,2000-2001,,3000000
Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,2000-2001,,3000000
Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,2000-2001,,2700000
Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,1.Bundesliga,Bayern Munich ,1.Bundesliga,2000-2001,,2300000
Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,2000-2001,,2100000
Pascal Ojigwe,Defensive Midfield,23,1. FC Köln,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2000-2001,,2100000
Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,Premier League,2000-2001,,2100000
Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Chelsea,Premier League,2000-2001,,1900000
José Amavisca,Left Midfield,29,Racing,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,1900000
Sergej Barbarez,Second Striker,28,Bor. Dortmund,1.Bundesliga,Hamburger SV,1.Bundesliga,2000-2001,,1800000
Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Real Madrid,LaLiga,2001-2002,,77500000
Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Serie A,2001-2002,,52880000
Gaizka Mendieta,Right Midfield,27,Valencia CF,LaLiga,Lazio,Serie A,2001-2002,,48000000
Juan Sebastián Verón,Central Midfield,26,Lazio,Serie A,Man Utd,Premier League,2001-2002,,42600000
Rui Costa,Attacking Midfield,29,Fiorentina,Serie A,AC Milan,Serie A,2001-2002,,42000000
Lilian Thuram,Centre-Back,29,Parma,Serie A,Juventus,Serie A,2001-2002,,41500000
Pavel Nedved,Left Midfield,28,Lazio,Serie A,Juventus,Serie A,2001-2002,,38700000
Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,AC Milan,Serie A,2001-2002,,37000000
Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Parma,Serie A,2001-2002,,28400000
Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Serie A,2001-2002,,26500000
Jaap Stam,Centre-Back,29,Man Utd,Premier League,Lazio,Serie A,2001-2002,,25750000
Márcio Amoroso,Centre-Forward,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2001-2002,,25500000
Stefano Fiore,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,,25000000
Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Juventus,Serie A,2001-2002,,25000000
Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,AC Milan,Serie A,2001-2002,,18000000
Sérgio Conceição,Right Winger,26,Parma,Serie A,Inter,Serie A,2001-2002,,18000000
Robbie Keane,Centre-Forward,20,Inter,Serie A,Leeds,Premier League,2001-2002,,18000000
Sergio,Central Midfield,24,Espanyol,LaLiga,Dep. La Coruña,LaLiga,2001-2002,,17900000
Steve Marlet,Centre-Forward,27,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,,17600000
Philippe Christanval,Centre-Back,22,Monaco,Ligue 1,FC Barcelona,LaLiga,2001-2002,,17000000
Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,Parma,Serie A,2001-2002,,17000000
Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,Leeds,Premier League,2001-2002,,16800000
Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,Premier League,2001-2002,,16000000
Javi Moreno,Centre-Forward,26,Alavés,LaLiga,AC Milan,Serie A,2001-2002,,16000000
Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2001-2002,,15500000
Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Lazio,Serie A,2001-2002,,15000000
Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,AC Milan,Serie A,2001-2002,,15000000
Laurent Robert,Left Winger,26,Paris SG,Ligue 1,Newcastle,Premier League,2001-2002,,14330000
Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Serie A,2001-2002,,14000000
Andy Cole,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2001-2002,,12200000
Dean Richards,Centre-Back,27,Southampton,Premier League,Spurs,Premier League,2001-2002,,12150000
Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,12000000
Seth Johnson,Central Midfield,22,Derby,Premier League,Leeds,Premier League,2001-2002,,11500000
Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,,11500000
Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Inter,Serie A,2001-2002,,11000000
Mario Turdó,Centre-Forward,22,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,2001-2002,,10820000
Marco Materazzi,Centre-Back,27,Perugia,Serie A,Inter,Serie A,2001-2002,,10500000
Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,Premier League,2001-2002,,10300000
Martin Djetou,Centre-Back,26,Monaco,Ligue 1,Parma,Serie A,2001-2002,,9750000
Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,Middlesbrough,Premier League,2001-2002,,9750000
William Gallas,Centre-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2001-2002,,9300000
Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Parma,Serie A,2001-2002,,9300000
Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,Monaco,Ligue 1,2001-2002,,9000000
Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,Premier League,2001-2002,,9000000
Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,Ligue 1,2001-2002,,8500000
Tomás Repka,Centre-Back,27,Fiorentina,Serie A,West Ham,Premier League,2001-2002,,8250000
Claudio Pizarro,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,,8200000
Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Real Sociedad,LaLiga,2001-2002,,8000000
Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,,8000000
Patrik Andersson,Centre-Back,29,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,2001-2002,,8000000
Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,,7500000
Robert Kovac,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,,7500000
Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,7500000
Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,West Ham,Premier League,2001-2002,,7500000
Cosmin Contra,Right-Back,25,Alavés,LaLiga,AC Milan,Serie A,2001-2002,,7000000
Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,2001-2002,,7000000
Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,Everton,Premier League,2001-2002,,7000000
Nelson Vivas,Right-Back,31,Arsenal,Premier League,Inter,Serie A,2001-2002,,7000000
Steed Malbranque,Central Midfield,21,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,,6600000
Christian Ziege,Left Midfield,29,Liverpool,Premier League,Spurs,Premier League,2001-2002,,6500000
John Arne Riise,Left-Back,20,Monaco,Ligue 1,Liverpool,Premier League,2001-2002,,6100000
Luke Young,Right-Back,21,Spurs,Premier League,Charlton,Premier League,2001-2002,,6000000
Rory Delap,Central Midfield,25,Derby,Premier League,Southampton,Premier League,2001-2002,,6000000
Antonio Guayre,Right Winger,21,UD Las Palmas,LaLiga,Villarreal CF,LaLiga,2001-2002,,6000000
Zoltan Sebescen,Right-Back,25,VfL Wolfsburg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2001-2002,,6000000
Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,,5580000
Niko Kovac,Defensive Midfield,29,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,,5500000
Sylvain Legwinski,Left Midfield,28,G. Bordeaux,Ligue 1,Fulham,Premier League,2001-2002,,5250000
Jon Harley,Left-Back,21,Chelsea,Premier League,Fulham,Premier League,2001-2002,,5250000
Victor Agali,Centre-Forward,22,Hansa Rostock,1.Bundesliga,FC Schalke 04,1.Bundesliga,2001-2002,,5100000
Christian Panucci,Right-Back,28,Inter,Serie A,AS Roma,Serie A,2001-2002,,5000000
Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,Real Sociedad,LaLiga,2001-2002,,5000000
Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,Sunderland,Premier League,2001-2002,,5000000
David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,Premier League,2001-2002,,4800000
Jérôme Rothen,Left Midfield,23,Troyes,Ligue 1,Monaco,Ligue 1,2001-2002,,4500000
Marcus Bent,Centre-Forward,23,Blackburn,Premier League,Ipswich,Premier League,2001-2002,,4500000
Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Sunderland,Premier League,2001-2002,,4500000
Matthew Jones,Central Midfield,20,Leeds,Premier League,Leicester,Premier League,2001-2002,,4500000
James Scowcroft,Centre-Forward,25,Ipswich,Premier League,Leicester,Premier League,2001-2002,,4500000
Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,Lens,Ligue 1,2001-2002,,4300000
Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,Celta de Vigo,LaLiga,2001-2002,,4200000
Finidi George,Right Winger,30,RCD Mallorca,LaLiga,Ipswich,Premier League,2001-2002,,4200000
François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,,4190000
Alberto Gilardino,Centre-Forward,19,Piacenza,Serie A,Hellas Verona,Serie A,2001-2002,,3870000
Sylvinho,Left-Back,27,Arsenal,Premier League,Celta de Vigo,LaLiga,2001-2002,,3800000
Toifilou Maoulida,Centre-Forward,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3800000
Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,Premier League,2001-2002,,3750000
Gabriel Heinze,Centre-Back,23,Real Valladolid,LaLiga,Paris SG,Ligue 1,2001-2002,,3500000
Gustavo Poyet,Attacking Midfield,33,Chelsea,Premier League,Spurs,Premier League,2001-2002,,3400000
Sebastian Kehl,Defensive Midfield,21,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2001-2002,,3200000
Olivier Monterrubio,Left Midfield,24,FC Nantes,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3000000
Olivier Sorlin,Defensive Midfield,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3000000
Nils-Eric Johansson,Left-Back,21,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,2001-2002,,3000000
Jason McAteer,Right Midfield,30,Blackburn,Premier League,Sunderland,Premier League,2001-2002,,3000000
Marco Reich,Left Midfield,23,1.FC K'lautern,1.Bundesliga,1. FC Köln,1.Bundesliga,2001-2002,,3000000
Jonathan Greening,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,,3000000
Luigi Sala,Centre-Back,27,AC Milan,Serie A,Atalanta,Serie A,2001-2002,,2500000
Dennis Wise,Defensive Midfield,34,Chelsea,Premier League,Leicester,Premier League,2001-2002,,2400000
Luís Boa Morte,Left Midfield,23,Southampton,Premier League,Fulham,Premier League,2001-2002,,2300000
Mark Wilson,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,,2300000
Thomas Hengen,Sweeper,26,VfL Wolfsburg,1.Bundesliga,1.FC K'lautern,1.Bundesliga,2001-2002,,2250000
Mark Draper,Attacking Midfield,30,Aston Villa,Premier League,Southampton,Premier League,2001-2002,,2250000
Joachim Björklund,Centre-Back,30,Venezia,Serie A,Sunderland,Premier League,2001-2002,,2230000
Yann Lachuer,Attacking Midfield,28,SC Bastia,Ligue 1,AJ Auxerre,Ligue 1,2001-2002,,2000000
Marc Wilmots,Attacking Midfield,32,G. Bordeaux,Ligue 1,FC Schalke 04,1.Bundesliga,2001-2002,,2000000
Ulrich Le Pen,Left Winger,27,FC Lorient,Ligue 1,Ipswich,Premier League,2001-2002,,1950000
Rio Ferdinand,Centre-Back,23,Leeds,Premier League,Man Utd,Premier League,2002-2003,,46000000
Ronaldo,Centre-Forward,25,Inter,Serie A,Real Madrid,LaLiga,2002-2003,,45000000
Hernán Crespo,Centre-Forward,27,Lazio,Serie A,Inter,Serie A,2002-2003,,36000000
Alessandro Nesta,Centre-Back,26,Lazio,Serie A,AC Milan,Serie A,2002-2003,,30500000
Fabio Cannavaro,Centre-Back,28,Parma,Serie A,Inter,Serie A,2002-2003,,23000000
Clarence Seedorf,Central Midfield,26,Inter,Serie A,AC Milan,Serie A,2002-2003,,22500000
Francesco Coco,Left-Back,25,AC Milan,Serie A,Inter,Serie A,2002-2003,,22500000
Matías Almeyda,Defensive Midfield,28,Parma,Serie A,Inter,Serie A,2002-2003,,22100000
Marco Di Vaio,Centre-Forward,26,Parma,Serie A,Juventus,Serie A,2002-2003,,21000000
Nicolas Anelka,Centre-Forward,23,Paris SG,Ligue 1,Man City,Premier League,2002-2003,,15000000
Albert Luque,Left Winger,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2002-2003,,15000000
El-Hadji Diouf,Centre-Forward,21,Lens,Ligue 1,Liverpool,Premier League,2002-2003,,15000000
Adriano,Centre-Forward,20,Inter,Serie A,Parma,Serie A,2002-2003,,14500000
Jonathan Woodgate,Centre-Back,23,Leeds,Premier League,Newcastle,Premier League,2002-2003,,13500000
Javi Moreno,Centre-Forward,27,AC Milan,Serie A,Atlético Madrid,LaLiga,2002-2003,,13000000
Massimo Maccarone,Centre-Forward,22,FC Empoli,Serie A,Middlesbrough,Premier League,2002-2003,,12380000
Martin Laursen,Centre-Back,24,Parma,Serie A,AC Milan,Serie A,2002-2003,,11000000
Robbie Keane,Centre-Forward,21,Leeds,Premier League,Spurs,Premier League,2002-2003,,10500000
Bernardo Corradi,Centre-Forward,26,Inter,Serie A,Lazio,Serie A,2002-2003,,10000000
Robbie Fowler,Centre-Forward,27,Leeds,Premier League,Man City,Premier League,2002-2003,,9800000
Zé Roberto,Left Midfield,28,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2002-2003,,9500000
Sebastian Deisler,Right Midfield,22,Hertha BSC,1.Bundesliga,Bayern Munich ,1.Bundesliga,2002-2003,,9000000
Torsten Frings,Defensive Midfield,25,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2002-2003,,8500000
Salif Diao,Defensive Midfield,25,CS Sedan,Ligue 1,Liverpool,Premier League,2002-2003,,7500000
Mark Bresciano,Central Midfield,22,FC Empoli,Serie A,Parma,Serie A,2002-2003,,7000000
George Boateng,Defensive Midfield,26,Aston Villa,Premier League,Middlesbrough,Premier League,2002-2003,,6900000
Juninho Paulista,Attacking Midfield,29,Atlético Madrid,LaLiga,Middlesbrough,Premier League,2002-2003,,6900000
Bruno Cheyrou,Central Midfield,24,LOSC Lille,Ligue 1,Liverpool,Premier League,2002-2003,,6500000
Émerson,Defensive Midfield,30,Dep. La Coruña,LaLiga,Atlético Madrid,LaLiga,2002-2003,,6500000
Jan Simak,Attacking Midfield,23,Hannover 96,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2002-2003,,6500000
Frank Rost,Goalkeeper,29,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2002-2003,,6250000
Michael Ballack,Central Midfield,25,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2002-2003,,6000000
Sylvain Distin,Centre-Back,24,Paris SG,Ligue 1,Man City,Premier League,2002-2003,,6000000
Richard Wright,Goalkeeper,24,Arsenal,Premier League,Everton,Premier League,2002-2003,,5500000
Michael Ricketts,Centre-Forward,24,Bolton,Premier League,Middlesbrough,Premier League,2002-2003,,5250000
Dario Simic,Centre-Back,26,Inter,Serie A,AC Milan,Serie A,2002-2003,,5000000
Matteo Brighi,Central Midfield,21,Juventus,Serie A,Parma,Serie A,2002-2003,,5000000
Stephen Appiah,Central Midfield,21,Parma,Serie A,Brescia,Serie A,2002-2003,,4550000
Emiliano Bonazzoli,Centre-Forward,23,Parma,Serie A,Reggina,Serie A,2002-2003,,4500000
Stephen Wright,Right-Back,22,Liverpool,Premier League,Sunderland,Premier League,2002-2003,,4500000
David Sommeil,Centre-Back,27,G. Bordeaux,Ligue 1,Man City,Premier League,2002-2003,,4500000
Nick Barmby,Left Midfield,28,Liverpool,Premier League,Leeds,Premier League,2002-2003,,4500000
Daniel Bierofka,Left Midfield,23,1860 Munich,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2002-2003,,4200000
Patrice Evra,Left-Back,21,OGC Nice,Ligue 1,Monaco,Ligue 1,2002-2003,,4100000
Bernardo Corradi,Centre-Forward,26,Chievo Verona,Serie A,Inter,Serie A,2002-2003,,4000000
Pascal Cygan,Centre-Back,28,LOSC Lille,Ligue 1,Arsenal,Premier League,2002-2003,,3830000
Franck Queudrue,Left-Back,23,Lens,Ligue 1,Middlesbrough,Premier League,2002-2003,,3750000
Dwight Yorke,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2002-2003,,3500000
Dagui Bakari,Centre-Forward,27,LOSC Lille,Ligue 1,Lens,Ligue 1,2002-2003,,3500000
Cosmin Contra,Right-Back,26,AC Milan,Serie A,Atlético Madrid,LaLiga,2002-2003,,3000000
Michael Svensson,Centre-Back,26,Troyes,Ligue 1,Southampton,Premier League,2002-2003,,3000000
Richard Dutruel,Goalkeeper,29,FC Barcelona,LaLiga,Alavés,LaLiga,2002-2003,,2900000
Samuele Dalla Bona,Central Midfield,21,Chelsea,Premier League,AC Milan,Serie A,2002-2003,,2700000
Carsten Jancker,Centre-Forward,27,Bayern Munich ,1.Bundesliga,Udinese Calcio,Serie A,2002-2003,,2500000
Aliou Cissé,Defensive Midfield,26,Paris SG,Ligue 1,Birmingham,Premier League,2002-2003,,2250000
Ricardo,Goalkeeper,30,Real Valladolid,LaLiga,Man Utd,Premier League,2002-2003,,2230000
Ümit Davala,Right Midfield,28,AC Milan,Serie A,Inter,Serie A,2002-2003,,2000000
René-Salomon Olembé,Left Midfield,21,FC Nantes,Ligue 1,Marseille,Ligue 1,2002-2003,,2000000
Mazhar Abdelrahman,Forward,25,El Masry,Premier League,Monaco,Ligue 1,2002-2003,,2000000
Arne Friedrich,Centre-Back,23,Arm. Bielefeld,1.Bundesliga,Hertha BSC,1.Bundesliga,2002-2003,,1800000
Adrian Ilie,Centre-Forward,28,Valencia CF,LaLiga,Alavés,LaLiga,2002-2003,,1500000
Cyril Jeunechamp,Defensive Midfield,27,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2002-2003,,1500000
Andy Todd,Centre-Back,27,Charlton,Premier League,Blackburn,Premier League,2002-2003,,1500000
Cyril Domoraud,Centre-Back,30,Monaco,Ligue 1,Espanyol,LaLiga,2002-2003,,1500000
Matthew Upson,Centre-Back,23,Arsenal,Premier League,Birmingham,Premier League,2002-2003,,1400000
Bill Tchato,Left-Back,27,Montpellier,Ligue 1,1.FC K'lautern,1.Bundesliga,2002-2003,,1400000
Stephen Clemence,Right Midfield,24,Spurs,Premier League,Birmingham,Premier League,2002-2003,,1350000
Alexander Manninger,Goalkeeper,25,Arsenal,Premier League,Espanyol,LaLiga,2002-2003,,1320000
Radoslaw Kaluzny,Defensive Midfield,28,Energie Cottbus,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2002-2003,,1200000
